fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-04-27,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.5,125
2022-04-28,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.41,332
2022-04-28,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.68,63
2022-04-28,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,10.55,5
2022-04-30,BARQUISIMETO,000386,HUEVOS A GRANEL,21.56,235
2022-05-01,ACARIGUA,000386,HUEVOS A GRANEL,21.56,125
2022-05-01,GUARENAS,000386,HUEVOS A GRANEL,21.56,378
2022-05-01,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,10.76,32
2022-05-02,BARQUISIMETO,000386,HUEVOS A GRANEL,21.56,171
2022-05-03,GUARENAS,000386,HUEVOS A GRANEL,21.6,305
2022-05-03,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.6,126
2022-05-04,BARQUISIMETO,000386,HUEVOS A GRANEL,21.65,83
2022-03-17,GUARENAS,000386,HUEVOS A GRANEL,19.69,346
2022-03-18,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,8.99,190
2022-03-18,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,8.99,217
2022-03-19,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.01,253
2022-03-19,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.01,236
2022-03-23,CAGUA,001973,MARGARINA 500GR MAVESA.,9.01,125
2022-03-24,IPSFA,001973,MARGARINA 500GR MAVESA.,9.05,192
2022-03-29,GUARENAS,000386,HUEVOS A GRANEL,20.06,215
2022-03-29,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.13,50
2022-03-29,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.13,110
2022-04-01,GUARENAS,000386,HUEVOS A GRANEL,20.1,384
2022-04-01,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.15,239
2022-04-01,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.15,288
2022-04-03,BARQUISIMETO,000386,HUEVOS A GRANEL,20.24,241
2022-04-03,IPSFA,001973,MARGARINA 500GR MAVESA.,9.22,527
2022-04-05,CAGUA,000386,HUEVOS A GRANEL,20.24,256
2022-04-05,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.22,162
2022-04-05,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.22,202
2022-04-06,CAGUA,000386,HUEVOS A GRANEL,21.17,265
2022-04-07,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.12,427
2022-04-07,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.22,173
2022-04-07,CAGUA,001973,MARGARINA 500GR MAVESA.,9.22,179
2022-04-07,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.22,230
2022-04-11,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.43,36
2022-04-11,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.43,140
2022-04-12,GUARENAS,000386,HUEVOS A GRANEL,21.17,321
2022-04-12,IPSFA,000386,HUEVOS A GRANEL,21.17,818
2022-04-13,CAGUA,001973,MARGARINA 500GR MAVESA.,10.45,237
2022-04-14,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.28,3
2022-04-19,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.48,136
2022-04-20,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.27,485
2022-04-21,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,238
2022-04-22,IPSFA,000386,HUEVOS A GRANEL,21.27,736
2022-04-23,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.48,221
2022-04-24,CAGUA,000386,HUEVOS A GRANEL,21.27,282
2022-04-26,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,19
2022-04-27,BARQUISIMETO,000386,HUEVOS A GRANEL,21.32,112
2022-04-28,ACARIGUA,000386,HUEVOS A GRANEL,21.41,105
2022-05-01,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.76,73
2022-05-01,IPSFA,001973,MARGARINA 500GR MAVESA.,10.76,427
2022-05-03,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.78,20
2022-05-03,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,10.6,22
2022-05-04,ACARIGUA,000386,HUEVOS A GRANEL,21.65,114
2022-05-04,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,10.62,22
2022-05-05,BARQUISIMETO,000386,HUEVOS A GRANEL,21.79,113
2022-05-05,GUARENAS,000386,HUEVOS A GRANEL,21.79,213
2022-05-06,ACARIGUA,000386,HUEVOS A GRANEL,21.84,81
2022-05-06,BARQUISIMETO,000386,HUEVOS A GRANEL,21.84,129
2022-05-06,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.84,447
2022-05-09,GUARENAS,000386,HUEVOS A GRANEL,21.94,291
2022-05-09,IPSFA,000386,HUEVOS A GRANEL,21.94,633
2022-05-12,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,11.09,90
2022-05-13,ACARIGUA,000386,HUEVOS A GRANEL,22.61,90
2022-05-13,GUARENAS,000386,HUEVOS A GRANEL,22.61,287
2022-05-13,ACARIGUA,001973,MARGARINA 500GR MAVESA.,11.1392,1
2022-05-15,ACARIGUA,000386,HUEVOS A GRANEL,22.85,112
2022-05-17,GUARENAS,001973,MARGARINA 500GR MAVESA.,11.42,134
2022-05-17,IPSFA,001973,MARGARINA 500GR MAVESA.,11.42,286
2022-05-18,MATURIN PLAZA,000386,HUEVOS A GRANEL,22.99,43
2022-05-18,ACARIGUA,001973,MARGARINA 500GR MAVESA.,11.47,62
2022-05-20,CAGUA,000386,HUEVOS A GRANEL,23.47,230
2022-05-21,ACARIGUA,000386,HUEVOS A GRANEL,23.71,138
2022-03-17,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,8.97,150
